Parola,Traduzione,Nota,Esempio,FileVideo,Spiegazione
Качество,Qualità,Si usa per prodotti o caratteristiche personali.,Это платье высокого качества. - Questo vestito è di alta qualità.,378_video.mp4,Характеристика вещи: хорошая или плохая.
стада,greggie,Plurale di greggia (sinonimo di gregge).,На лугу пасутся стада - Sui prati pascolano le greggie.,379_video.mp4,Это группа животных (например овец).
Пастух,Pastore,В религии — пастор,Пастух пасёт овец - Il pastore pascola le pecore,380_video.mp4,Человек который смотрит за овцами в поле
Рыбак,Pescatore,Существительное,Рыбак ловит рыбу — Il pescatore pesca,381_video.mp4,Человек который ловит рыбу
Бодрый,Energico,Используется для описания активного состояния,Утром я чувствую себя бодрым - Al mattino mi sento energico,382_video.mp4,Когда у человека много энергии и сил
Бабочка,Farfalla,Sostantivo femminile,Красивая бабочка летит - Una bella farfalla vola,383_video.mp4,Это красивое насекомое с большими крыльями
Мотылёк,Falena,Часто летит на свет.,Мотылёк летит на свет - La falena vola verso la luce.,384_video.mp4,"Это насекомое, похожее на бабочку, но оно летает ночью."
Целовать,Baciare,Глагол несовершенного вида (I спряжение),Мама целует ребёнка — La mamma bacia il bambino,385_video.mp4,Прикасаться губами к кому-то в знак любви или приветствия.
Средство,Mezzo / Rimedio,Può indicare un farmaco o un metodo per fare qualcosa,Это хорошее средство от кашля - Questo è un buon rimedio per la tosse,386_video.mp4,Это вещь которая помогает решить проблему или вылечить болезнь
Моющее средство,Detersivo,Может быть жидким или в виде порошка,Я купил новое моющее средство. - Ho comprato un nuovo detersivo.,387_video.mp4,Средство для чистки поверхностей или стирки одежды
Обидеть,Offendere,Глагол совершенного вида,Я не хотел тебя обидеть — Non volevo offenderti,388_video.mp4,Сказать или сделать что-то плохое человеку чтобы он расстроился
стая,stormo/branco,Существительное женского рода,Стая птиц летит на юг. - Uno stormo di uccelli vola verso sud.,389_video.mp4,Группа птиц или волков
стоянка,parcheggio,Sostantivo femminile (da стоять),Где находится стоянка? - Dove si trova il parcheggio?,390_video.mp4,Место где стоят машины
Познакомиться,Conoscersi,Verbo riflessivo perfettivo (si usa con la preposizione 'с'),Приятно познакомиться! - Piacere di conoscerti!,391_video.mp4,Когда люди узнают имена друг друга первый раз
Ужасно,Terribilmente,Può essere un avverbio o un aggettivo.,Это ужасно! - È terribile!,392_video.mp4,Это слово значит «очень плохо».
Равенство,Uguaglianza,Sostantivo neutro (оно),Равенство — это важно. - L'uguaglianza è importante.,393_video.mp4,Это когда у всех людей одинаковые права
Занятость,Occupazione,Sostantivo femminile.,Полная занятость — Occupazione a tempo pieno,394_video.mp4,Это когда у человека есть работа.
Вишня,Ciliegia,В русском языке есть вишня (кислая) и черешня (сладкая),Я люблю есть вишню. - Mi piace mangiare la ciliegia.,395_video.mp4,Это маленькая красная ягода
Везде,Dappertutto,Наречие места.,Я искал ключи везде — Ho cercato le chiavi dappertutto.,396_video.mp4,Это слово означает «во всех местах».
Нигде,Da nessuna parte,Richiede sempre la doppia negazione in russo (нигде + не).,Я нигде не вижу ключи — Non trovo le chiavi da nessuna parte.,397_video.mp4,Означает в никаком месте. Используется с отрицанием не.
Вперёд,Avanti,Используется для указания направления.,Идите вперёд до парка - Vai avanti fino al parco.,397_video.mp4,Это слово значит движение прямо.
Назад,Indietro,Указывает направление.,Сделай шаг назад - Fai un passo indietro.,398_video.mp4,Это движение в обратную сторону.
Очередь,Coda,Sostantivo femminile (indica sia una fila che il proprio turno),В магазине большая очередь. - In negozio c'è una grande coda.,399_video.mp4,Люди стоят друг за другом и ждут.
Брать,Prendere,Imperfettivo (coppia: взять),Я всегда беру кофе утром. - Prendo sempre il caffè la mattina.,400_video.mp4,Вы берёте вещь рукой или покупаете её
Пешеход,Pedone,"Composto dalle radici ""пеш"" (a piedi) e ""ход"" (andare).",Пешеход переходит дорогу. - Il pedone attraversa la strada.,401_video.mp4,"Человек, который идёт пешком по улице."
Авось,Forse / Magari,Indica l'affidarsi al caso (Russkij avos'),Авось всё будет хорошо - Magari andrà tutto bene,402_video.mp4,Это надежда на удачу без усилий
Неизбежно,Inevitabilmente,Наречие,Зима неизбежно придёт - L'inverno arriverà inevitabilmente,403_video.mp4,Это значит что что-то точно будет и это нельзя изменить
Раздел,Sezione/Capitolo,Indica una divisione in un testo o menu,В этом разделе есть важная информация - In questa sezione ci sono informazioni importanti,404_video.mp4,Это часть книги или сайта
делить,dividere,Verbo imperfettivo; si usa anche per l'operazione matematica della divisione.,Мы должны делить пиццу на всех. - Dobbiamo dividere la pizza per tutti.,405_video.mp4,Это значит делать из одного целого несколько частей или распределять что-то.
Беги,Corri,Imperativo informale singolare,Беги быстрее! - Corri più veloce!,406_video.mp4,Форма глагола «бежать» (повелительное наклонение)
Народный,Popolare,Spesso usato per tradizioni o titoli ufficiali.,Это русский народный танец - Questa è una danza popolare russa.,407_video.mp4,Это то что относится к народу или культуре страны.
Урожай,Raccolto,Sostantivo maschile,В этом году хороший урожай - Quest'anno il raccolto è buono,408_video.mp4,Овощи и фрукты которые собрали в саду или на поле
Поддерживать,Sostenere / Supportare,Verbo imperfettivo (perfettivo: поддержать),Друзья должны поддерживать друг друга — Gli amici devono sostenersi a vicenda,409_video.mp4,Помогать человеку или сохранять ситуацию
порода,razza,Si usa per animali e minerali,Какая это порода собаки? - Di che razza è questo cane?,410_video.mp4,Тип домашних животных или камня
Голубь,Piccione,Maschile (pl. голуби) simbolo della pace,В парке летит белый голубь - Nel parco vola un piccione bianco,411_video.mp4,Это птица которая живет в городе
Убирать,Pulire / Mettere in ordine,Глагол несовершенного вида (НСВ),Я убираю комнату каждый день. - Pulisco la stanza ogni giorno.,412_video.mp4,Делать место чистым или класть вещи на место
Газированная,Frizzante,"Aggettivo femminile (solitamente riferito a ""вода"")",Я люблю газированную воду. - Amo l'acqua frizzante.,413_video.mp4,Напиток или вода с газом.
Стрелка,Freccia / Lancetta,Часто используется для обозначения времени или пути.,Маленькая стрелка показывает часы. - La lancetta piccola indica le ore.,414_video.mp4,Это маленький указатель на часах или знак направления.
Рана,Ferita,Sostantivo femminile,У него глубокая рана на руке - Ha una ferita profonda sul braccio,415_video.mp4,Повреждение кожи или тела человека
влюбленный,innamorato,Aggettivo/Participio,Он влюбленный в неё - Lui è innamorato di lei,416_video.mp4,Человек который чувствует любовь
творить,creare,Verbo imperfettivo spesso legato all'atto creativo o a imprese straordinarie.,Художник хочет творить весь день. - L'artista vuole creare tutto il giorno.,417_video.mp4,Делать что-то новое или заниматься искусством.
Обязательно,Sicuramente,Si usa per esprimere una promessa o una necessità assoluta,Я обязательно приду. - Verrò sicuramente.,418_video.mp4,Это значит что нужно сделать что-то точно или на 100%
Сапсан,Sapsan (treno veloce),Prende il nome dal falco pellegrino.,Я еду в Москву на Сапсане - Vado a Mosca con il Sapsan.,419_video.mp4,Это очень быстрый поезд между Москвой и Петербургом.
Восход,Alba,"Spesso usato nella locuzione ""восход солнца""",Я люблю смотреть на восход - Amo guardare l'alba,420_video.mp4,Когда солнце встаёт утром на небе
Выбирать,Scegliere,Глагол несовершенного вида (нсв),Я выбираю подарок — Scelgo un regalo,419_video.mp4,Брать один предмет или вариант из многих
Крылышко,Aletta,Diminutivo di крыло (ala),Куриное крылышко очень вкусное. - L'aletta di pollo è molto buona.,419_video.mp4,Это маленькое крыло птицы или часть курицы для еды
Приказ,Ordine,Используется в армии или офисе,Директор подписал приказ - Il direttore ha firmato l'ordine,420_video.mp4,Официальное сообщение о том что нужно сделать
Неприемлемо,Inaccettabile,Наречие или краткое прилагательное среднего рода,Это поведение неприемлемо - Questo comportamento è inaccettabile,421_video.mp4,Это значит что это очень плохо и так нельзя делать
Пытаться,Tentare,Часто используется с инфинитивом,Я пытаюсь понять. - Tento di capire.,422_video.mp4,Делать усилия чтобы что-то получилось
Иди,Vai,Imperativo singolare,Иди домой! - Vai a casa!,423_video.mp4,Глагол идти (ты). Двигаться пешком.
Обожать,Adorare,Глагол несовершенного вида,Я обожаю мороженое. - Adoro il gelato.,424_video.mp4,Очень сильно любить кого-то или что-то
Тише,Più piano,Comparativo di тихо; si usa per chiedere silenzio.,Тише! Ребёнок спит. - Silenzio! Il bambino dorme.,425_video.mp4,"Сравнительная степень от «тихо», просьба не шуметь."
Прохладно,Fresco,Используется как безличное состояние,Сегодня прохладно - Oggi fa fresco,426_video.mp4,Когда на улице не жарко и немного холодно
Куда-то,Da qualche parte,Indica moto a luogo verso una destinazione ignota,Он пошёл куда-то - Lui è andato da qualche parte,427_video.mp4,Направление в неизвестное место
Опрос,Sondaggio,Si usa per sondaggi d'opinione o interrogazioni scolastiche,Этот опрос очень важен. - Questo sondaggio è molto importante.,428_video.mp4,Когда людей спрашивают о чём-то чтобы узнать их мнение
Разные,Diversi,Aggettivo plurale.,Мы купили разные книги - Abbiamo comprato libri diversi.,429_video.mp4,Это когда вещи или люди не одинаковые.
Провести,Trascorrere / Condurre,"Perfettivo di ""проводить""",Мы решили провести отпуск в Италии - Abbiamo deciso di trascorrere le vacanze in Italia,430_video.mp4,Делать что-то в течение времени или организовать встречу
Поведение,Comportamento,Sostantivo neutro.,У него хорошее поведение. - Lui ha un buon comportamento.,431_video.mp4,Как человек действует или говорит в разных ситуациях.
Сохранять,Salvare / Conservare,Verbo imperfettivo (aspetto perfettivo: сохранить).,Нужно часто сохранять файлы. — Bisogna salvare spesso i file.,432_video.mp4,Это значит оставить что-то как есть или не потерять (например информацию).
Отмечать,Celebrare/Festeggiare,Несовершенный вид (СВ: отметить),Мы любим отмечать праздники вместе - Amiamo festeggiare le feste insieme,433_video.mp4,Праздновать событие или делать пометку в списке
дополнять,completare / aggiungere,Глагол несовершенного вида (пара: дополнить),Вы можете дополнить этот список? - Potete completare questa lista?,434_video.mp4,Делать что-то полным или добавлять информацию
Мурашки,Pelle d'oca,Мурашек — это форма родительного падежа мн. числа,У меня мурашки от этой музыки — Ho la pelle d'oca per questa musica,435_video.mp4,Маленькие точки на коже от холода или страха
Плита,Fornello,Può indicare anche una lastra di pietra o metallo.,На плите стоит горячий чайник. - Sul fornello c'è un bollitore caldo.,436_video.mp4,Это кухонный прибор для приготовления еды.
Черешня,Ciliegia (dolce),"Si distingue da ""вишня"" (amarena/visciola) perché è dolce",Я купил килограмм спелой черешни. - Ho comprato un chilo di ciliegie mature.,437_video.mp4,Сладкая красная или жёлтая ягода
Спелый,Maturo,Si riferisce a prodotti agricoli pronti per essere raccolti o mangiati.,Этот помидор очень спелый. - Questo pomodoro è molto maturo.,438_video.mp4,"Это когда фрукт или овощ уже готов, чтобы его есть."
Себе представить,Immaginarsi,Обычно используется в порядке «представить себе».,Я не могу это себе представить. - Non riesco a immaginarlo.,439_video.mp4,Это значит создать образ или картинку в голове.
Событие,Evento,Sostantivo neutro singolare,Это важное событие в моей жизни. - Questo è un evento importante nella mia vita.,440_video.mp4,Это то что случилось или происходит
Передать,Passare / Trasmettere,Verbo perfettivo (imperfettivo: передавать),Передай мне соль пожалуйста! - Passami il sale per favore!,441_video.mp4,Дать что-то другому человеку или сказать информацию
Описывать,Descrivere,Verbo imperfettivo (I coniugazione),Опиши своего друга - Descrivi il tuo amico,442_video.mp4,Рассказывать словами о том как выглядит человек или предмет
Толпа,Folla,Sostantivo femminile,На площади была большая толпа - Sulla piazza c'era una grande folla,443_video.mp4,Много людей в одном месте
Столица,Capitale,Sostantivo femminile,Москва — столица России (Mosca è la capitale della Russia),444_video.mp4,Главный город страны
Посольство,Ambasciata,Sostantivo neutro,Где находится посольство? - Dove si trova l'ambasciata?,445_video.mp4,"Это место, где работают дипломаты другой страны."
Распространять,Diffondere,Verbo imperfettivo (perf. распространить),Интернет помогает быстро распространять новости - Internet aiuta a diffondere rapidamente le notizie,446_video.mp4,Делать что-то известным или доступным многим людям
Особняк,Villa (dimora signorile),Часто историческое здание в центре города,Этот особняк очень старый. - Questa villa è molto vecchia.,447_video.mp4,Большой красивый частный дом для одной семьи
Смесь,Miscela,Sostantivo femminile,Эта смесь очень вкусная - Questa miscela è molto gustosa,448_video.mp4,Когда разные вещи или продукты соединяются вместе
Страх,Paura,Sostantivo maschile singolare,У него есть страх темноты - Lui ha paura del buio.,449_video.mp4,Это эмоция когда человек очень боится
Молодость,Gioventù,Sostantivo femminile,Моя молодость была счастливой (La mia gioventù è stata felice),450_video.mp4,Время когда человек молодой
Собеседование,Colloquio di lavoro,Sostantivo neutro,У меня завтра важное собеседование. - Domani ho un colloquio importante.,451_video.mp4,Это разговор когда человек хочет получить новую работу
Короче,In breve / Insomma,Si usa spesso come intercalare per concludere un discorso.,Короче я не приду - In breve non vengo.,454_video.mp4,Это слово помогает говорить кратко.
Молиться,Pregare,Глагол второго спряжения,Я молюсь каждый день. - Prego ogni giorno.,455_video.mp4,Говорить с Богом
Экран,Schermo,Sostantivo maschile,У него новый телефон с большим экраном — Ha un nuovo telefono con uno schermo grande,454_video.mp4,Часть монитора или телефона где мы видим картинку
Сундук,Baule,Spesso usato in contesti antichi o fiabeschi,Бабушка хранит вещи в сундуке — La nonna conserva le cose nel baule,455_video.mp4,Большой ящик с крышкой для хранения вещей
Шкатулка,Scrigno,Sostantivo femminile.,В шкатулке лежат золотые кольца. - Nello scrigno ci sono gli anelli d'oro.,456_video.mp4,Красивая коробка для хранения украшений.
Всюду,Dappertutto,Синоним слова «везде».,Я искал тебя всюду — Ti ho cercato dappertutto.,457_video.mp4,Это слово значит «в каждом месте».
Кое-где,In alcuni posti / Qua e là,Пишется через дефис,Кое-где ещё лежит снег - In alcuni posti c'è ancora la neve,458_video.mp4,Это значит «в некоторых местах» (не везде)
Цель,Obiettivo,Sostantivo femminile,Моя цель — выучить русский язык (Il mio obiettivo è imparare il russo),459_video.mp4,То что человек хочет получить или достичь
По крайней мере,Almeno,Устойчивое выражение,"По крайней мере, я попытался. — Almeno ci ho provato.",460_video.mp4,Это значит минимум или хотя бы.
В конце,Alla fine,Si usa spesso con il caso genitivo (в конце чего?),В конце фильма все плакали - Alla fine del film tutti piangevano.,461_video.mp4,Это значит финал или последняя часть чего-либо.
Прописка,Registrazione di residenza,Termine usato per la residenza obbligatoria.,У меня есть московская прописка. - Ho la residenza a Mosca.,462_video.mp4,Это официальный адрес человека в паспорте.
Крыса,Ratto,Существительное женского рода,Крыса живёт в подвале — Il ratto vive in cantina,463_video.mp4,Это животное похожее на большую мышь
Сплетня,Pettegolezzo,Sostantivo femminile.,Я не люблю слушать сплетни. - Non mi piace ascoltare i pettegolezzi.,464_video.mp4,Это неправда или секреты о других людях которые люди рассказывают друг другу.
Большинство,Maggioranza,Si usa spesso con il caso genitivo plurale.,Большинство студентов сдали экзамен - La maggioranza degli studenti ha superato l'esame.,465_video.mp4,Это значит больше половины людей или предметов в группе.
Кудахтать,Chiocciare,Глагол (несов. в.),Курица громко кудахчет во дворе. - La gallina chioccia forte nel cortile.,466_video.mp4,Издавать звуки как курица (ко-ко-ко)
маяк,faro,Sostantivo maschile,Маяк светит ночью. - Il faro brilla di notte.,467_video.mp4,Это высокая башня со светом у моря для кораблей.
сосна,pino,Genere femminile.,В лесу растёт старая сосна - Nel bosco cresce un vecchio pino,468_video.mp4,Это высокое хвойное дерево с длинными иголками.
Догнать,Raggiungere,Совершенный вид (нсв: догонять),Я хочу догнать автобус - Voglio raggiungere l'autobus,469_video.mp4,Идти или ехать быстрее чтобы быть рядом с тем кто впереди
Путать,Confondere,Verbo imperfettivo (usato per nomi o strade),Я часто путаю эти имена — Confondo spesso questi nomi,470_video.mp4,Ошибаться и принимать одно за другое
Ушибся,Si è fatto male (contusione),Passato maschile del verbo riflessivo ушибиться.,Он упал и ушибся. (È caduto e si è fatto male).,471_video.mp4,Когда человек ударился и чувствует боль.
Пластырь,Cerotto,Sostantivo maschile,Купи пластырь в аптеке - Compra un cerotto in farmacia,472_video.mp4,Это липкая лента для защиты маленькой раны на коже
Нежный,Tenero,Si usa per la consistenza o per i sentimenti,У него нежное сердце - Lui ha un cuore tenero,473_video.mp4,Это значит очень мягкий или добрый
